PassengerId,Survived
1040,0
1244,0
1239,0
1176,1
1174,1
979,1
1214,0
1006,1
893,0
1291,0
1089,1
933,0
1298,0
1045,0
1218,1
948,0
1096,0
1269,0
1066,0
1178,0
1086,1
989,0
981,1
1283,1
1181,0
921,0
1048,1
935,1
1109,0
1012,1
1071,1
1173,1
963,0
1059,0
894,0
1123,1
1152,0
1039,0
1238,0
1162,0
1299,0
965,0
1215,0
1104,0
1093,1
1064,0
1013,0
932,0
1307,0
1031,0
1248,1
927,0
1046,0
901,0
1296,1
1262,0
1256,1
1073,0
999,0
1186,0
1163,0
954,0
983,0
1234,0
1203,0
1278,0
1304,1
1078,1
1288,0
1014,1
1111,0
1267,1
1055,0
1023,1
1213,0
1250,0
918,1
946,0
1159,0
1194,0
949,0
1157,0
1122,0
1297,0
995,0
1069,0
1205,0
1261,0
938,0
1017,1
1088,1
968,0
1292,1
1002,0
1081,0
1008,0
926,0
1027,0
984,1
1308,0
919,0
1200,0
1028,0
1199,1
936,1
982,1
897,0
1303,1
1273,0
1201,0
988,1
1033,1
905,0
1112,1
1185,0
1279,0
970,0
928,1
912,0
1149,0
1018,0
1021,0
1118,0
1180,0
1193,0
1293,0
1249,0
1223,1
977,0
1144,0
1061,1
1169,0
925,0
910,1
1043,0
908,0
1272,0
1265,0
1034,0
996,1
1232,0
1158,0
1120,0
939,0
1091,1
1019,1
1072,0
1264,0
1015,0
1037,0
931,0
913,1
1062,0
1300,1
1130,1
955,1
952,0
1076,1
1103,0
993,0
1222,1
1142,1
1007,0
1166,0
1212,0
1134,0
974,0
972,1
1155,1
997,0
964,1
1277,1
1025,0
1225,1
1209,0
1236,1
1242,1
958,1
1302,1
1259,0
1132,1
998,0
1124,0
1295,0
1128,0
896,1
1083,0
1092,1
903,0
929,1
1026,0
1020,0
1030,1
1294,1
1041,0
1190,0
967,0
1240,0
1179,0
1230,0
1233,0
1131,1
1254,1
1170,0
1068,1
961,1
1029,0
923,0
1221,0
986,0
1005,1
917,0
1145,0
994,0
922,0
1003,1
1075,0
1011,1
1229,0
1116,1
1235,1
1036,0
947,0
1153,0
1220,0
1094,0
1143,0
1243,0
1129,0
975,0
943,0
1255,0
956,1
1105,1
1042,1
971,1
1051,1
1151,0
1117,1
1245,0
1156,0
1049,1
1227,0
1206,1
1053,1
990,1
1009,1
892,0
904,1
1226,0
976,0
1281,0
1110,1
957,1
1252,0
1172,1
1079,0
1098,0
1182,0
920,0
1138,1
1150,1
1108,1
1189,0
1301,1
1246,1
1121,0
1146,0
916,1
1050,1
1207,1
1052,1
1001,0
1063,0
1204,0
1065,0
1309,0
930,0
992,1
1197,1
1257,0
1115,0
911,0
1084,1
1113,0
1022,0
899,0
966,1
1057,0
1284,1
1056,0
1024,0
1058,0
969,1
1188,1
1195,0
960,0
987,0
898,1
1136,0
1047,0
1175,1
942,0
941,0
1228,0
1102,0
1276,0
1183,1
1202,0
1127,0
1208,0
1287,1
1251,1
940,1
1231,1
1266,1
985,0
1054,1
1165,1
1253,1
1125,0
950,0
1196,1
1139,0
1044,0
953,0
906,1
1270,0
1137,0
1140,1
1216,1
1077,0
1147,0
959,0
1211,0
1274,1
900,1
1080,0
914,1
945,1
1032,0
1280,0
1038,0
1126,0
944,1
1000,0
1107,0
1119,1
902,0
1074,1
1305,0
1135,0
1210,0
1290,0
1219,0
1271,0
973,0
1010,0
1192,0
1258,0
1085,0
1241,1
1161,0
1187,0
991,0
915,0
1101,0
1191,0
1141,1
1171,0
1282,0
1167,1
1067,1
937,0
1268,1
1090,0
1168,0
1237,1
1224,0
1004,1
1035,0
909,0
1060,1
1100,1
1114,1
1184,0
1177,0
895,0
1164,1
1087,0
1306,1
1285,0
1095,1
1275,1
1099,0
951,1
1286,0
978,1
1154,1
907,1
1217,0
1097,0
1263,1
924,0
1289,1
1133,1
1247,0
1198,0
962,1
980,1
934,0
1016,0
1082,0
1160,1
1106,0
1260,1
1070,1
1148,0
